smiles,inchikey,tm_k,source
CCCCC(C)C,GXDHCNNESPLIKD-UHFFFAOYSA-N,155.15,bradley
CC1(C)OC(=O)CC(=O)O1,GXHFUVWIGNLZSC-UHFFFAOYSA-N,367.15,bradley
O=C(O)/C=C/c1ccc(Cl)cc1,GXLIFJYFGMHYDY-ZZXKWVIFSA-N,521.15,bradley
Cc1ccc(CC(=O)O)cc1,GXXXUZIRGXYDFP-UHFFFAOYSA-N,365.15,bradley
C=C(C)C#N,GYCMBHHDWRMZGG-UHFFFAOYSA-N,237.15,bradley
N#Cc1cccc(C(=O)O)c1,GYLKKXHEIIFTJH-UHFFFAOYSA-N,496.15,bradley
COc1ccc(C)cc1OC,GYPMBQZAVBFUIZ-UHFFFAOYSA-N,300.15,bradley
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,GZCGUPFRVQAUEE-KCDKBNATSA-N,439.15,bradley
Oc1ccc(Br)cc1,GZFGOTFRPZRKDS-UHFFFAOYSA-N,339.15,bradley
C[N+](CCO)(CCO)Cc1ccccc1.[Cl-],GZOXYNSFPWUMOH-UHFFFAOYSA-M,334.15,des
N#Cc1cccnc1,GZPHSAQLYPIAIN-UHFFFAOYSA-N,323.15,bradley
CCCC#CCCC,GZTNBKQTTZSQNS-UHFFFAOYSA-N,170.15,bradley
Nc1nc(N)nc(-c2ccccc2)n1,GZVHEAJQGPRDLQ-UHFFFAOYSA-N,500.15,bradley
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,HAPOJKSPCGLOOD-UHFFFAOYSA-N,483.15,bradley
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,HAXBIWFMXWRORI-UHFFFAOYSA-N,489.15,bradley
c1ccc2c(c1)CCO2,HBEDSQVIWPRPAY-UHFFFAOYSA-N,252.15,bradley
CCCCCCCCCC#N,HBZDPWBWBJMYRY-UHFFFAOYSA-N,258.15,bradley
O=C(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F,HCCPWBWOSASKLG-UHFFFAOYSA-N,310.65,bradley
O=c1c(-c2ccccc2)c1-c1ccccc1,HCIBTBXNLVOFER-UHFFFAOYSA-N,393.15,bradley
Cc1ccc2c(c1)no[n+]2[O-],HCWVKDOCXDWFEH-UHFFFAOYSA-N,370.15,bradley
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,HCYFGRCYSCXKNQ-UHFFFAOYSA-N,543.15,bradley
C=Cc1ccc(-c2ccccc2)cc1,HDBWAWNLGGMZRQ-UHFFFAOYSA-N,389.15,bradley
CCN1C(=O)C=CC1=O,HDFGOPSGAURCEO-UHFFFAOYSA-N,317.15,bradley
Cc1cccc(C)c1[N+](=O)[O-],HDFQKJQEWGVKCQ-UHFFFAOYSA-N,288.15,bradley
NCc1cccnc1,HDOUGSFASVGDCS-UHFFFAOYSA-N,252.15,bradley
OC[C@@H](O)C(O)[C@@H](O)CO,HEBKCHPVOIAQTA-NGQZWQHPSA-N,367.15,des
OC[C@@H](O)[C@H](O)[C@@H](O)CO,HEBKCHPVOIAQTA-SCDXWVJYSA-N,365.7,des
OC[C@@H](O)[C@@H](O)[C@@H](O)CO,HEBKCHPVOIAQTA-ZXFHETKHSA-N,375.15,bradley
ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,210.15,bradley
CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,350.4,des
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,334.15,bradley
CC(Br)C(Br)C(=O)O,HESQKTULJLBDRF-UHFFFAOYSA-N,359.15,bradley
C=C(C)OC(C)=O,HETCEOQFVDFGSY-UHFFFAOYSA-N,180.15,bradley
Cc1c(N)cccc1[N+](=O)[O-],HFCFJYRLBAANKN-UHFFFAOYSA-N,363.15,bradley
C=CCCCCCCCCCCCC,HFDVRLIODXPAHB-UHFFFAOYSA-N,260.15,bradley
COc1cccc(Cl)c1Cl,HFEASCCDHUVYKU-UHFFFAOYSA-N,304.15,bradley
C=CCI,HFEHLDPGIKPNKL-UHFFFAOYSA-N,174.15,bradley
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,HFHAVERNVFNSHL-UHFFFAOYSA-N,330.15,bradley
Oc1ccccc1F,HFHFGHLXUCOHLN-UHFFFAOYSA-N,288.15,bradley
Cc1ccc(C(C)C)cc1,HFPZCAJZSCWRBC-UHFFFAOYSA-N,205.15,bradley
Cc1ccc([N+](=O)[O-])cc1C,HFZKOYWDLDYELC-UHFFFAOYSA-N,303.65,bradley
Oc1ccc(Cl)cc1Cl,HFZWRUODUSTPEG-UHFFFAOYSA-N,315.65,bradley
CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,181.65,bradley
C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,169.15,bradley
C=CC=O,HGINCPLSRVDWNT-UHFFFAOYSA-N,186.15,bradley
N#Cc1cccc(C=O)c1,HGZJJKZPPMFIBU-UHFFFAOYSA-N,350.15,bradley
CC(=O)c1ccc(C(F)(F)F)cc1,HHAISVSEJFEWBZ-UHFFFAOYSA-N,305.15,bradley
CCOC(=O)C(C)(C)C,HHEIMYAXCOIQCJ-UHFFFAOYSA-N,183.15,bradley
NS(=O)(=O)c1ccc(Cl)cc1,HHHDJHHNEURCNV-UHFFFAOYSA-N,418.15,bradley
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1,HHLCSFGOTLUREE-UHFFFAOYSA-N,343.15,bradley
CCC1(C(C)C)C(=O)NC(=O)NC1=O,HHLXJTDUHFBYAU-UHFFFAOYSA-N,476.15,bradley
O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,HHMCAJWVGYGUEF-UHFFFAOYSA-N,363.15,bradley
CC(C)CCC(C)(C)C,HHOSMYBYIHNXNO-UHFFFAOYSA-N,167.15,bradley
CS(C)(=O)=O,HHVIBTZHLRERCL-UHFFFAOYSA-N,382.15,bradley
O=C1C=CC(=O)N1c1ccccc1,HIDBROSJWZYGSZ-UHFFFAOYSA-N,362.15,bradley
Cc1cc(N)ccc1Cl,HIHCTGNZNHSZPP-UHFFFAOYSA-N,357.15,bradley
O=C(/C=C/c1ccccc1)c1ccc(Cl)cc1,HIINIOLNGCQCSM-IZZDOVSWSA-N,372.15,bradley
CCc1cc(C)cc(CC)c1,HILAULICMJUOLK-UHFFFAOYSA-N,199.15,bradley
O=C(c1ccccc1)c1ccccc1O,HJIAMFHSAAEUKR-UHFFFAOYSA-N,312.15,bradley
CC1=CC(=O)CC(C)(C)C1,HJOVHMDZYOCNQW-UHFFFAOYSA-N,265.15,bradley
O=C1CCCC(=O)C1,HJSLFCCWAKVHIW-UHFFFAOYSA-N,376.15,bradley
Oc1ccc(Cc2ccccc2)cc1,HJSPWKGEPDZNLK-UHFFFAOYSA-N,356.15,bradley
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,HJUFTIJOISQSKQ-UHFFFAOYSA-N,326.65,bradley
O=C(O)CCC1CCCCC1,HJZLEGIHUQOJBA-UHFFFAOYSA-N,291.3,des
COC(=O)C(Cl)Cl,HKMLRUAPIDAGIE-UHFFFAOYSA-N,221.15,bradley
C#CCCC(C)C,HKNANEMUCJGPMS-UHFFFAOYSA-N,149.15,bradley
CCCCCCCCCCCC(C)O,HKOLRKVMHVYNGG-UHFFFAOYSA-N,298.15,bradley
NNc1ccccc1,HKOOXMFOFWEVGF-UHFFFAOYSA-N,292.15,bradley
N#Cc1ccccc1N,HLCPWBZNUKCSBN-UHFFFAOYSA-N,321.15,bradley
CCCCCC1CCCCC1,HLTMUYBTNSVOFY-UHFFFAOYSA-N,215.15,bradley
CC(C)CBr,HLVFKOKELQSXIQ-UHFFFAOYSA-N,155.15,bradley
CCCCCCCCCCCCCCO,HLZKNKRTKFSKGZ-UHFFFAOYSA-N,311.7,des
COCC(=O)Nc1cc(Sc2ccccc2)ccc1N=C(NC(=O)OC)NC(=O)OC,HMCCXLBXIJMERM-UHFFFAOYSA-N,402.15,bradley
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,HMHVCUVYZFYAJI-UHFFFAOYSA-N,453.15,bradley
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,HMMGMWAXVFQUOA-UHFFFAOYSA-N,290.65,bradley
Cc1nnc(N)s1,HMPUHXCGUHDVBI-UHFFFAOYSA-N,498.0,bradley
CCCCCCCCCCCCCCCCCCCCCCCCCC,HMSWAIKSFDFLKN-UHFFFAOYSA-N,330.15,bradley
Cc1ccc(CN)cc1,HMTSWYPNXFHGEP-UHFFFAOYSA-N,285.15,bradley
C/C(=C/C(=O)O)C(=O)O,HNEGQIOMVPPMNR-IHWYPQMZSA-N,363.15,bradley
CC(=O)Nc1cccc(C(F)(F)F)c1,HNIPNANLYHXYDE-UHFFFAOYSA-N,378.15,bradley
O=C1CCCN1,HNJBEVLQSNELDL-UHFFFAOYSA-N,297.15,bradley
OC1C2CCC(C2)C1O,HNMVZUWXQLASRL-UHFFFAOYSA-N,414.15,bradley
O=C(O)Cc1ccc(C(F)(F)F)cc1,HNORVZDAANCHAY-UHFFFAOYSA-N,353.15,bradley
CCC(C)(C)C,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,173.15,bradley
CCCCCCCCCCCCCCCCBr,HNTGIJLWHDPAFN-UHFFFAOYSA-N,290.15,bradley
CC1CNCC(C)O1,HNVIQLPOGUDBSU-UHFFFAOYSA-N,188.15,bradley
Oc1c(Cl)cccc1Cl,HOLHYSJJBXSLMV-UHFFFAOYSA-N,341.65,bradley
Oc1cccc(Cl)c1,HORNXRXVQWOLPJ-UHFFFAOYSA-N,306.15,bradley
CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,HOVAGTYPODGVJG-VOQCIKJUSA-N,445.15,bradley
CCCCCCCCCCCCCCCCCCCCCC,HOWGUJZVBDQJKV-UHFFFAOYSA-N,315.15,bradley
CC(C)C1CC1,HPBROFGYTXOJIO-UHFFFAOYSA-N,160.15,bradley
CCCCCCCCCCCCCCCCCC(=O)OC,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,313.15,bradley
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,HPJKCIUCZWXJDR-UHFFFAOYSA-N,454.15,bradley
Cc1ccc(Cl)c(N)c1,HPSCXFOQUFPEPE-UHFFFAOYSA-N,304.15,bradley
OC1CCCCC1,HPXRVTGHNJAIIH-UHFFFAOYSA-N,294.15,bradley
CCCCN,HQABUPZFAYXKJW-UHFFFAOYSA-N,224.15,bradley
COc1cccc([N+](=O)[O-])c1C,HQCZLEAGIOIIMC-UHFFFAOYSA-N,326.15,bradley
C=C(Br)CC,HQMXRIGBXOFKIU-UHFFFAOYSA-N,140.15,bradley
N#Cc1ccc(Br)cc1,HQSCPPCMBMFJJN-UHFFFAOYSA-N,384.15,bradley
C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N,357.15,bradley
CCc1ccc(N)cc1,HRXZRAXKKNUKRF-UHFFFAOYSA-N,268.15,bradley
CCCl,HRYZWHHZPQKTII-UHFFFAOYSA-N,134.15,bradley
C#C,HSFWRNGVRCDJHI-UHFFFAOYSA-N,192.35,bradley
Nc1ccc(C(=O)NCC(=O)O)cc1,HSMNQINEKMPTIC-UHFFFAOYSA-N,472.65,bradley
COc1ccccc1OCC(O)CO,HSRJKNPTNIJEKV-UHFFFAOYSA-N,354.15,bradley
CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,HSXKWKJCZNRMJO-UHFFFAOYSA-N,363.15,bradley
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,HTDJPCNNEPUOOQ-UHFFFAOYSA-N,333.15,bradley
COc1ccccc1Br,HTDQSWDEWGSAMN-UHFFFAOYSA-N,275.15,bradley
CCCCSCCCC,HTIRHQRTDBPHNZ-UHFFFAOYSA-N,193.15,bradley
CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,HTMIBDQKFHUPSX-UHFFFAOYSA-N,360.15,bradley
[O-][S+](Cc1ccccc1)Cc1ccccc1,HTMQZWFSTJVJEQ-UHFFFAOYSA-N,406.15,bradley
CCCCCC(=O)OCCC,HTUIWRWYYVBCFT-UHFFFAOYSA-N,204.15,bradley
CC[N+](CC)(CC)Cc1ccccc1.[Cl-],HTZCNXWZYVXIMZ-UHFFFAOYSA-M,393.15,des
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,HUCJFAOMUPXHDK-UHFFFAOYSA-N,404.15,bradley
CCOC(=O)Cc1c[nH]c2ccccc12,HUDBDWIQSIGUDI-UHFFFAOYSA-N,316.15,bradley
O=C1c2ccccc2-c2cccc3cccc1c23,HUKPVYBUJRAUAG-UHFFFAOYSA-N,443.15,bradley
O=Cc1ccccc1,HUMNYLRZRPPJDN-UHFFFAOYSA-N,217.15,bradley
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,488.65,bradley
CCc1cccc(-c2ccccc2)c1,HUXKTWJQSHBZIV-UHFFFAOYSA-N,245.15,bradley
C=CCCC(=O)O,HVAMZGADVCBITI-UHFFFAOYSA-N,251.15,bradley
CCN1CCOCC1,HVCNXQOWACZAFN-UHFFFAOYSA-N,210.15,bradley
Nc1ccc(N)c([N+](=O)[O-])c1,HVHNMNGARPCGGD-UHFFFAOYSA-N,411.65,bradley
Clc1cccc(Br)c1Cl,HVKCZUVMQPUWSX-UHFFFAOYSA-N,331.15,bradley
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,HVLLSGMXQDNUAL-UHFFFAOYSA-N,296.15,bradley
O=c1c(O)c(-c2ccccc2)oc2ccccc12,HVQAJTFOCKOKIN-UHFFFAOYSA-N,443.15,bradley
CCc1ccccc1Br,HVRUGFJYCAFAAN-UHFFFAOYSA-N,205.15,bradley
CCI,HVTICUPFWKNHNG-UHFFFAOYSA-N,165.15,bradley
CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,HVUMOYIDDBPOLL-XWVZOOPGSA-N,330.15,bradley
COc1ccc(C=O)c(C(=O)O)c1OC,HVXXOIGTXJOVON-UHFFFAOYSA-N,420.15,bradley
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,421.15,bradley
CC[N+](CC)(CC)CC.[Br-],HWCKGOZZJDHMNC-UHFFFAOYSA-M,633.0,des
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,HWHLPVGTWGOCJO-UHFFFAOYSA-N,387.15,bradley
O=C(C=C1Cc2ccccc21)c1ccccc1,HWHZQTMEJCZCLM-UHFFFAOYSA-N,323.15,bradley
Cc1cncc(C)c1,HWWYDZCSSYKIAD-UHFFFAOYSA-N,264.15,bradley
CCc1ccc(O)cc1,HXDOZKJGKXYMEW-UHFFFAOYSA-N,316.65,bradley
C1=Cc2cccc3cccc1c23,HXGDTGSAIMULJN-UHFFFAOYSA-N,364.15,bradley
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,HXHWSAZORRCQMX-UHFFFAOYSA-N,482.15,bradley
OB(O)c1ccccc1,HXITXNWTGFUOAU-UHFFFAOYSA-N,490.15,bradley
O=S1(=O)CCCC1,HXJUTPCZVOIRIF-UHFFFAOYSA-N,300.15,bradley
C[C@H](O)CN,HXKKHQJGJAFBHI-VKHMYHEASA-N,298.15,bradley
CC(C)(C)CCC(C)(C)C,HXQDUXXBVMMIKL-UHFFFAOYSA-N,260.15,bradley
Cn1nnc2ccccc21,HXQHRUJXQJEGER-UHFFFAOYSA-N,338.15,bradley
O=Cc1ccco1,HYBBIBNJHNGZAN-UHFFFAOYSA-N,237.15,bradley
Cc1ccc(Cc2ccc(C)cc2)cc1,HZAWPPRBCALFRN-UHFFFAOYSA-N,302.15,bradley
NCCO,HZAXFHJVJLSVMW-UHFFFAOYSA-N,283.55,des
COc1ccc(C(=O)O)c(OC)c1OC,HZNQSWJZTWOTKM-UHFFFAOYSA-N,374.15,bradley
N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,HZNVUJQVZSTENZ-UHFFFAOYSA-N,488.15,bradley
N#CCCC#N,IAHFWCOBPZCAEA-UHFFFAOYSA-N,329.15,bradley
CC12CCC(C1)C(C)(C)C2O,IAIHUHQCLTYTSF-UHFFFAOYSA-N,321.15,bradley
COc1cc(OC)c(OC)cc1C=O,IAJBQAYHSQIQRE-UHFFFAOYSA-N,387.15,bradley
O=CC(O)C(O)C(O)C(O)C(=O)O,IAJILQKETJEXLJ-UHFFFAOYSA-N,439.15,bradley
CCCCCCCCOc1ccc(C(=O)O)cc1,IALWCYFULVHLEC-UHFFFAOYSA-N,376.15,bradley
CC=CC,IAQRGUVFOMOMEM-UHFFFAOYSA-N,168.15,bradley
O=Cc1cccc(O)c1,IAVREABSGIHHMO-UHFFFAOYSA-N,378.15,bradley
C1CO1,IAYPIBMASNFSPL-UHFFFAOYSA-N,162.15,bradley
CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,291.55,bradley
O=Cc1ccc(O)c(O)c1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,427.15,bradley
Brc1ccc(Br)c2ccccc12,IBGUDZMIAZLJNY-UHFFFAOYSA-N,354.15,bradley
CCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,IBQREHJPMPCXQA-UHFFFAOYSA-N,365.15,bradley
Cc1ccccc1Cl,IBSQPLPBRSHTTG-UHFFFAOYSA-N,237.15,bradley
Cc1ncc([N+](=O)[O-])n1C,IBXPYPUJPLLOIN-UHFFFAOYSA-N,413.15,bradley
ClCCBr,IBYHHJPAARCAIE-UHFFFAOYSA-N,256.15,bradley
NC(N)=NC(N)=NCCc1ccccc1,ICFJFFQQTFMIBG-UHFFFAOYSA-N,449.65,des
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,ICKWICRCANNIBI-UHFFFAOYSA-N,327.65,bradley
CC1(C)CC(C)(c2ccccc2)c2ccccc21,ICLPNZMYHDVKKI-UHFFFAOYSA-N,323.15,bradley
CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,182.15,bradley
COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,ICMGLRUYEQNHPF-UHFFFAOYSA-N,429.15,bradley
Nc1ccccn1,ICSNLGPSRYBMBD-UHFFFAOYSA-N,331.15,bradley
Cc1cc(C)nc(N)n1,IDQNBVFPZMCDDN-UHFFFAOYSA-N,426.15,bradley
CCCCCCCCCCCCCCCCCC(C)=O,IEDKVDCIEARIIU-UHFFFAOYSA-N,328.15,bradley
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,474.15,bradley
COC(=O)OC,IEJIGPNLZYLLBP-UHFFFAOYSA-N,274.15,bradley
OCC(F)(F)C(F)(F)C(F)(F)CO,IELVMUPSWDZWSD-UHFFFAOYSA-N,351.15,bradley
CC(=O)c1ccco1,IEMMBWWQXVXBEU-UHFFFAOYSA-N,302.65,bradley
CCOC(=O)/C=C/C(=O)OCC,IEPRKVQEAMIZSS-AATRIKPKSA-N,274.15,bradley
CCOC(=O)C=CC(=O)OCC,IEPRKVQEAMIZSS-UHFFFAOYSA-N,263.15,bradley
O=C(O)c1ccc(C(=O)c2ccccc2)cc1,IFQUPKAISSPFTE-UHFFFAOYSA-N,471.15,bradley
CCC1CCCC1,IFTRQJLVEBNKJK-UHFFFAOYSA-N,135.15,bradley
CCC1=CCCCC1,IFVMAGPISVKRAR-UHFFFAOYSA-N,163.15,bradley
c1ccc(C2CCCCC2)cc1,IGARGHRYKHJQSM-UHFFFAOYSA-N,278.15,bradley
CC(=O)c1ccc(Br)s1,IGBZCOWXSCWSHO-UHFFFAOYSA-N,368.15,bradley
CCCCCCCCCc1ccc(O)cc1,IGFHQQFPSIBGKE-UHFFFAOYSA-N,318.15,bradley
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,IGGUPRCHHJZPBS-UHFFFAOYSA-N,339.15,bradley
COC(=O)c1cc(Cl)ccc1N,IGHVUURTQGBABT-UHFFFAOYSA-N,342.15,bradley
O=C(O)c1ccoc1,IHCCAYCGZOLTEU-UHFFFAOYSA-N,395.15,bradley
O=Cc1cc([N+](=O)[O-])ccc1O,IHFRMUGEILMHNU-UHFFFAOYSA-N,398.15,bradley
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,IHUNBGSDBOWDMA-UHFFFAOYSA-N,501.15,bradley
FC(Br)(Br)Br,IHZAEIHJPNTART-UHFFFAOYSA-N,199.15,bradley
CCC1CCCCC1,IIEWJVIFRVWJOD-UHFFFAOYSA-N,162.15,bradley
COC(=O)c1ccc(O)cc1O,IIFCLXHRIYTHPV-UHFFFAOYSA-N,391.15,bradley
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,IISBACLAFKSPIT-UHFFFAOYSA-N,429.15,bradley
CCCCCCCCCCCCC,IIYFAKIEWZDVMP-UHFFFAOYSA-N,268.15,bradley
CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,135.15,bradley
O=C(O)c1cccc(O)c1,IJFXRHURBJZNAO-UHFFFAOYSA-N,476.15,bradley
O=C(O)c1ccccc1Cl,IKCLCGXPQILATA-UHFFFAOYSA-N,413.15,bradley
CC(C)C(C)(C)O,IKECULIHBUCAKR-UHFFFAOYSA-N,263.15,bradley
Cc1ccc(O)c(C(C)(C)C)c1,IKEHOXWJQXIQAG-UHFFFAOYSA-N,325.15,bradley
CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,149.15,bradley
CCCCCCCCCCCBr,IKPSIIAXIDAQLG-UHFFFAOYSA-N,264.15,bradley
CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],IKWKJIWDLVYZIY-UHFFFAOYSA-M,508.15,des
COc1ccccc1C(=O)O,ILUJQPXNXACGAN-UHFFFAOYSA-N,372.15,bradley
[O-][n+]1ccccc1,ILVXOBCQQYKLDS-UHFFFAOYSA-N,337.15,bradley
O=C(O)c1ccccc1-c1ccccc1,ILYSAKHOYBPSPC-UHFFFAOYSA-N,385.15,bradley
O=C(CCl)c1ccccc1,IMACFCSSMIZSPP-UHFFFAOYSA-N,328.15,bradley
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,IMHBYKMAHXWHRP-UHFFFAOYSA-N,432.65,bradley
CCCCCCC,IMNFDUFMRHMDMM-UHFFFAOYSA-N,182.15,bradley
C1CN2CCN1CC2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,431.15,bradley
CCOc1ccc2ccccc2c1C=O,IMNKQTWVJHODOS-UHFFFAOYSA-N,385.15,bradley
CCOc1ccc(N)cc1,IMPPGHMHELILKG-UHFFFAOYSA-N,276.15,bradley
C=CBr,INLLPKCGLOXCIV-UHFFFAOYSA-N,134.15,bradley
CI,INQOMBQAUSQDDS-UHFFFAOYSA-N,209.15,bradley
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,INUNXTSAACVKJS-UHFFFAOYSA-N,453.15,bradley
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,INYDMNPNDHRJQJ-UHFFFAOYSA-N,329.15,bradley
O=C(O)c1ccc([N+](=O)[O-])o1,IODMEDPPCXSFLD-UHFFFAOYSA-N,460.15,bradley
CCCCCCCCN,IOQPZZOEVPZRBK-UHFFFAOYSA-N,272.15,bradley
OCc1ccccc1Br,IOWGHQGLUMEZKG-UHFFFAOYSA-N,354.15,bradley
O=C(c1ccccc1)c1cccc(C(F)(F)F)c1,IOXDAYKKVHAKSX-UHFFFAOYSA-N,325.15,bradley
CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,336.8,des
NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,462.15,bradley
CCCCCCCCCC(=O)Cl,IPIVAXLHTVNRBS-UHFFFAOYSA-N,238.15,bradley
O=C1C(O)=C(Cl)C(=O)C(O)=C1Cl,IPPWILKGXFOXHO-UHFFFAOYSA-N,556.15,bradley
CCCCC(N)=O,IPWFJLQDVFKJDU-UHFFFAOYSA-N,376.15,bradley
CCC=CC(C)C,IQANHWBWTVLDTP-UHFFFAOYSA-N,131.15,bradley
COc1ccc(OC)c(C)c1,IQISOVKPFBLQIQ-UHFFFAOYSA-N,293.15,bradley
O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1,IQOMYCGTGFGDFN-UHFFFAOYSA-N,442.15,bradley
O=[N+]([O-])c1ccccc1O,IQUPABOKLQSFBK-UHFFFAOYSA-N,317.15,bradley
COc1ccc(C(C)=O)cc1OC,IQZLUWLMQNGTIW-UHFFFAOYSA-N,324.15,bradley
CCNc1nc(NC(C)(C)C)nc(SC)n1,IROINLKCQGIITA-UHFFFAOYSA-N,378.15,bradley
C=Cc1ccc(C(=O)O)cc1,IRQWEODKXLDORP-UHFFFAOYSA-N,415.15,bradley
ClCc1ccc(Cl)cc1Cl,IRSVDHPYXFLLDS-UHFFFAOYSA-N,270.15,bradley
C=C(C)CCCC,IRUDSQHLKGNCGF-UHFFFAOYSA-N,170.15,bradley
O=C(Cl)CCC(=O)Cl,IRXBNHGNHKNOJI-UHFFFAOYSA-N,290.15,bradley
CN1C(=O)OC(C)(C)C1=O,IRYJRGCIQBGHIV-UHFFFAOYSA-N,320.15,bradley
O=C(c1ccccc1)C(O)c1ccccc1,ISAOCJYIOMOJEB-UHFFFAOYSA-N,410.15,bradley
O=Cc1ccc(-c2ccccc2)cc1,ISDBWOPVZKNQDW-UHFFFAOYSA-N,332.15,bradley
c1ccc(CN(Cc2ccccc2)c2ccccc2)cc1,ISGXOWLMGOPVPB-UHFFFAOYSA-N,343.15,bradley
Clc1ccc(Br)c(Cl)c1,ISHYFWKKWKXXPL-UHFFFAOYSA-N,300.15,bradley
CCOC(=O)C(NC(C)=O)C(=O)OCC,ISOLMABRZPQKOV-UHFFFAOYSA-N,371.15,bradley
Oc1ccccc1Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,280.15,bradley
C=Cc1ccccc1Cl,ISRGONDNXBCDBM-UHFFFAOYSA-N,210.15,bradley
CNC(=O)Oc1ccccc1OC(C)C,ISRUGXGCCGIOQO-UHFFFAOYSA-N,364.65,bradley
Oc1ccccc1,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,314.15,des
CCCCCCCCCCCCCCCCCCC(=O)O,ISYWECDDZWTKFF-UHFFFAOYSA-N,342.15,bradley
Cc1cccnc1,ITQTTZVARXURQS-UHFFFAOYSA-N,255.15,bradley
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],ITVQAKZNYJEWKS-UHFFFAOYSA-N,305.15,bradley
CC(C)(C)C(=O)O,IUGYQRQAERSCNH-UHFFFAOYSA-N,306.15,bradley
O=C(O)Cc1ccccc1Cl,IUJAAIZKRJJZGQ-UHFFFAOYSA-N,368.15,bradley
O=Cc1ccc(O)cc1O,IUNJCFABHJZSKB-UHFFFAOYSA-N,409.15,bradley
CCCCOC(=O)c1ccc(N)cc1,IUWVALYLNVXWKX-UHFFFAOYSA-N,331.15,bradley
